x y u v p
9.62113 33.188 -1.39675e-07 -4.2314e-07 9.72725e-05
9.39224 33.2855 2.3321e-07 7.37175e-08 9.71758e-05
9.17922 33.1342 1.65953e-07 3.05175e-07 9.6764e-05
10.0286 33.2559 6.93461e-36 -5.59522e-37 9.74737e-05
4.32606 33.2157 5.34059e-05 4.23793e-06 9.10896e-05
4.04571 33.1512 5.14552e-05 3.34283e-06 9.10466e-05
3.75588 33.1357 5.29689e-05 2.98393e-06 9.11159e-05
7.62688 32.8891 5.25246e-06 1.2174e-06 9.35751e-05
7.40328 33.0074 9.23033e-06 2.19858e-06 9.33339e-05
7.15356 33.0273 1.19378e-05 2.51007e-06 9.29329e-05
6.85429 33.0629 1.59205e-05 2.98686e-06 9.252e-05
8.94833 33.1031 6.21193e-07 7.24378e-07 9.63919e-05
8.70246 33.1028 1.55983e-06 1.23139e-06 9.59578e-05
8.56131 32.9108 8.60333e-07 6.71769e-07 9.55126e-05
8.38658 32.8735 1.24846e-06 6.87325e-07 9.51179e-05
0.284762 33.8024 0.000138297 -6.23559e-08 9.36064e-05
8.19327 32.9241 2.5196e-06 1.05944e-06 9.47742e-05
8.04186 33.041 4.82493e-06 1.91253e-06 9.46015e-05
7.78238 33.0217 6.44049e-06 2.03465e-06 9.40655e-05
0 34.011 0.000160542 -9.69712e-39 9.38932e-05
0.843516 33.7524 0.000132147 1.01266e-06 9.33536e-05
0.541 34.0075 0.000159643 7.02966e-07 9.36639e-05
1.90933 33.744 0.000125804 4.76371e-06 9.27221e-05
1.54218 33.5727 0.000110983 2.45168e-06 9.28533e-05
2.64502 33.6916 0.000113764 6.83015e-06 9.22327e-05
2.31217 33.7721 0.00012493 6.53213e-06 9.24901e-05
2.99602 33.7296 0.000113004 8.3983e-06 9.20768e-05
3.1922 33.5675 9.60282e-05 6.86773e-06 9.18331e-05
1.22007 33.728 0.000128341 2.14517e-06 9.31373e-05
3.37564 33.429 8.1716e-05 5.57991e-06 9.16136e-05
3.60474 33.3247 7.02263e-05 4.74248e-06 9.1404e-05
5.03987 33.4556 6.02741e-05 8.14852e-06 9.15165e-05
4.80469 33.4015 6.03409e-05 7.09543e-06 9.1379e-05
4.58346 33.327 5.83081e-05 5.83546e-06 9.12462e-05
5.1394 33.6797 7.30571e-05 1.2262e-05 9.18506e-05
5.50578 33.7112 6.76683e-05 1.32613e-05 9.20872e-05
5.87117 33.7325 6.12511e-05 1.39228e-05 9.23833e-05
6.21676 33.7321 5.38697e-05 1.39434e-05 9.27081e-05
6.75371 33.2397 2.31698e-05 5.12114e-06 9.26565e-05
6.65979 33.4492 3.26069e-05 8.33337e-06 9.28393e-05
6.53282 33.678 4.47091e-05 1.26743e-05 9.29928e-05
9.83539 33.3763 -3.64043e-08 -4.72662e-07 9.76729e-05
9.60896 33.4813 2.86215e-07 -1.30244e-07 9.76761e-05
9.3702 33.6138 1.53611e-06 1.2565e-06 9.75894e-05
9.14447 33.4297 1.66396e-06 1.401e-06 9.70181e-05
8.91384 33.3133 2.06342e-06 1.69755e-06 9.65291e-05
10.0477 33.4758 7.39737e-36 -7.63823e-37 9.79795e-05
4.4359 33.4966 7.27336e-05 8.13771e-06 9.14591e-05
4.17086 33.4135 7.03538e-05 6.57443e-06 9.13691e-05
3.90687 33.3508 6.8851e-05 5.42766e-06 9.13374e-05
7.61807 33.1519 1.0413e-05 3.35903e-06 9.39327e-05
7.38144 33.2346 1.50038e-05 4.54589e-06 9.36264e-05
7.08244 33.243 1.89707e-05 4.94526e-06 9.31465e-05
8.43024 33.1348 3.33259e-06 1.94915e-06 9.54756e-05
8.62252 33.3764 4.59731e-06 3.16319e-06 9.60867e-05
8.19409 33.2182 6.15178e-06 3.0583e-06 9.51093e-05
7.89728 33.203 8.64524e-06 3.47706e-06 9.45209e-05
3.76162 33.5281 8.51631e-05 7.53211e-06 9.15833e-05
2.81927 33.9319 0.000133821 1.04978e-05 9.23297e-05
0 34.3948 0.000201325 1.18056e-38 9.42831e-05
0.335707 34.4381 0.000205581 8.92372e-07 9.41332e-05
1.04619 34.0477 0.000162123 2.87879e-06 9.34341e-05
0.736676 34.2998 0.000189772 2.40828e-06 9.37835e-05
1.49119 33.9011 0.000144566 4.15584e-06 9.30814e-05
2.1515 34.1179 0.000160068 9.5661e-06 9.28193e-05
1.78058 34.0992 0.000162161 7.22448e-06 9.30274e-05
2.51717 34.0298 0.000147063 1.04364e-05 9.25569e-05
3.1701 34.0517 0.000139213 1.38933e-05 9.22731e-05
3.32911 33.8207 0.000116323 1.07671e-05 9.20166e-05
3.53373 33.6521 9.87684e-05 8.817e-06 9.17859e-05
4.71777 33.6693 8.03806e-05 1.14859e-05 9.17086e-05
4.91346 33.932 9.47515e-05 1.7205e-05 9.20691e-05
5.29229 33.9769 8.9021e-05 1.89188e-05 9.2283e-05
5.68934 34.0092 8.13696e-05 2.0197e-05 9.25728e-05
6.07079 34.0339 7.31737e-05 2.10249e-05 9.2926e-05
6.42223 34.0307 6.40389e-05 2.08496e-05 9.32912e-05
6.9987 33.4647 2.75523e-05 8.28254e-06 9.33346e-05
6.87899 33.7014 3.86628e-05 1.27874e-05 9.34752e-05
6.7061 33.9358 5.24852e-05 1.82117e-05 9.35294e-05
9.84589 33.675 1.21276e-07 -2.46005e-07 9.82976e-05
9.58367 33.8187 1.29001e-06 1.16133e-06 9.82471e-05
9.08453 33.7097 4.12403e-06 3.59119e-06 9.72752e-05
9.23018 33.9372 4.75092e-06 4.64372e-06 9.78554e-05
8.84424 33.5914 5.08863e-06 3.99407e-06 9.67198e-05
10.0734 33.7091 7.90844e-36 -9.96954e-37 9.8651e-05
4.30937 33.7592 9.4547e-05 1.23925e-05 9.17719e-05
4.00274 33.6657 9.26253e-05 1.00995e-05 9.16885e-05
7.67236 33.4255 1.60874e-05 6.54839e-06 9.43888e-05
7.33364 33.4835 2.27363e-05 8.09334e-06 9.38834e-05
8.32737 33.449 8.37819e-06 4.93236e-06 9.56224e-05
8.52857 33.6816 9.72339e-06 6.74278e-06 9.62547e-05
8.0099 33.449 1.21243e-05 5.9839e-06 9.50311e-05
3.76535 33.8247 0.000109505 1.21838e-05 9.18952e-05
2.87749 34.2428 0.000161422 1.56205e-05 9.25341e-05
10.1067 33.957 8.46282e-36 -1.26218e-36 9.94017e-05
0 34.8316 0.000247735 6.18423e-38 9.47551e-05
0.351528 34.9311 0.000257763 2.23212e-06 9.45547e-05
0.714154 34.689 0.000230699 4.07569e-06 9.4091e-05
1.43765 34.296 0.000185023 6.81213e-06 9.33584e-05
1.11725 34.4865 0.000207069 5.96889e-06 9.36796e-05
1.85053 34.4844 0.000199691 1.18864e-05 9.32231e-05
2.24631 34.5319 0.000198897 1.58262e-05 9.30272e-05
2.54976 34.3997 0.000181474 1.60951e-05 9.27918e-05
3.55553 34.0613 0.000133144 1.57373e-05 9.21633e-05
3.27016 34.3968 0.000167928 2.08923e-05 9.25077e-05
4.5816 34.1027 0.000114634 2.02998e-05 9.21653e-05
5.02513 34.2663 0.000115341 2.56761e-05 9.24552e-05
5.45791 34.3171 0.000106868 2.80808e-05 9.27341e-05
5.87873 34.3623 9.75311e-05 2.99918e-05 9.30933e-05
6.2851 34.3842 8.66608e-05 3.07717e-05 9.35019e-05
6.71321 34.3209 7.05863e-05 2.84377e-05 9.39436e-05
7.22025 33.7738 3.44375e-05 1.36238e-05 9.40683e-05
7.02047 34.0555 5.00136e-05 2.0548e-05 9.40889e-05
9.8851 34.027 4.41713e-07 5.51433e-07 9.92078e-05
9.58706 34.1354 2.69969e-06 3.36422e-06 9.88499e-05
8.78842 33.9092 9.77589e-06 7.99865e-06 9.70047e-05
9.25356 34.2646 7.74885e-06 8.48955e-06 9.84076e-05
8.9776 34.189 1.10569e-05 1.04496e-05 9.77242e-05
4.26322 34.0804 0.000120182 1.87876e-05 9.21057e-05
3.96233 34.0622 0.00012517 1.73444e-05 9.20968e-05
7.86009 33.7176 2.05498e-05 1.05224e-05 9.50761e-05
7.57171 33.7785 2.75628e-05 1.27034e-05 9.46436e-05
8.17142 33.746 1.60521e-05 9.58592e-06 9.56696e-05
8.38932 34.0053 1.79552e-05 1.26619e-05 9.63646e-05
2.92823 34.6129 0.000194425 2.28708e-05 9.27623e-05
10.149 34.2201 9.05884e-36 -1.56053e-36 0.000100274
30 32.5 -4.71867e-37 -4.62418e-37 1.64902e-05
10.2018 34.4988 9.69744e-36 -1.89318e-36 0.000101287
31 32.5 -2.16499e-38 -9.24047e-37 1.66368e-05
30.8333 32.5 -1.72429e-38 -9.17273e-37 1.65155e-05
31.8333 32.5 -3.00967e-38 -9.80396e-37 1.76481e-05
31.6667 32.5 -3.03221e-38 -9.67076e-37 1.74085e-05
31.5 32.5 -2.96055e-38 -9.54588e-37 1.71842e-05
30.6667 32.5 -1.22759e-38 -9.12718e-37 1.64325e-05
31.3333 32.5 -2.7891e-38 -9.43029e-37 1.69768e-05
31.1667 32.5 -2.52047e-38 -9.32716e-37 1.67916e-05
31.0925 32.6734 -6.10575e-07 4.83385e-08 1.67683e-05
9.49781 34.4447 6.05026e-06 8.0083e-06 9.92468e-05
2.08931 34.9086 0.000238166 2.03111e-05 9.33233e-05
0 35.3272 0.000300387 1.55643e-37 9.52481e-05
0.625314 35.2033 0.0002853 6.13195e-06 9.4541e-05
1.07617 34.9326 0.00025357 9.20931e-06 9.3996e-05
1.55432 34.8131 0.000236282 1.31137e-05 9.35988e-05
2.63087 34.8685 0.00022432 2.53514e-05 9.30305e-05
3.67905 34.4505 0.000163658 2.45456e-05 9.24542e-05
3.26559 34.8586 0.000209264 3.12115e-05 9.28006e-05
4.20835 34.4605 0.000151505 2.76688e-05 9.24347e-05
4.734 34.5526 0.000144287 3.26323e-05 9.26041e-05
5.21634 34.6847 0.000139322 3.85244e-05 9.29107e-05
5.63218 34.7026 0.000127041 4.02993e-05 9.31875e-05
6.01832 34.8098 0.000120893 4.4597e-05 9.35918e-05
6.47542 34.7199 9.9555e-05 4.14892e-05 9.39994e-05
6.85055 34.7088 8.6078e-05 4.04173e-05 9.44641e-05
7.15622 34.3833 6.05331e-05 2.90574e-05 9.46146e-05
7.48443 34.1562 4.23075e-05 2.14841e-05 9.49099e-05
9.9 34.4904 1.61525e-06 3.20659e-06 0.000100354
8.68885 34.3006 1.83776e-05 1.56629e-05 9.72754e-05
9.10165 34.6388 1.60741e-05 1.7513e-05 9.85846e-05
7.93385 34.071 2.88417e-05 1.70873e-05 9.55935e-05
8.28018 34.3722 2.93794e-05 2.14542e-05 9.6546e-05
30.1667 32.5 -3.17618e-40 -9.1482e-37 1.64676e-05
30.1016 32.6019 -3.51132e-09 3.48987e-09 1.64901e-05
29.9985 32.6717 -9.77097e-37 -1.68754e-38 1.65199e-05
10.2665 34.7934 1.03537e-35 -2.25549e-36 0.000102199
30.937 32.7097 -6.06408e-07 8.37041e-08 1.66572e-05
30.759 32.7046 -4.59885e-07 9.15969e-08 1.65528e-05
31.8849 32.6213 -5.47544e-07 -8.55149e-09 1.77074e-05
31.7294 32.6817 -7.7147e-07 -6.6898e-09 1.74879e-05
32 32.5 -2.90124e-38 -9.94177e-37 1.78956e-05
31.5666 32.6462 -6.54866e-07 6.32974e-09 1.7278e-05
